"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","year","t1","t2","good"
"294","Call helps #Cubs
Strike 1 should be ball 1
Bot 5 Arrieta vs Bandy
20% call same
1.9in from edge https://t.co/sHQBrx3U4k",FALSE,1,NA,2017-04-09 19:40:54,FALSE,NA,"851157996377911297",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Arrieta vs Bandy","Arrieta","helps"
"295","Call hurts #Cubs
Strike 1 should be ball 1
Top 5 Davies vs Heyward
12% call same
3.4in from edge https://t.co/M7Xgn2waAA",FALSE,3,NA,2017-04-09 19:36:09,FALSE,NA,"851156798476349446",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Davies vs Heywar","Davies","hurts"
"296","Call helps #Cubs
Strike 2 should be ball 1
Bot 1 Arrieta vs Villar
8% call same
2.6in from edge https://t.co/vFQJVHflEL",FALSE,3,NA,2017-04-09 18:33:29,FALSE,NA,"851141028216283136",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Arrieta vs Villa","Arrieta","helps"
"297","Call hurts #Cubs
Strike 3 should be ball 1
Top 1 Davies vs Arrieta
38% call same
1.1in from edge https://t.co/H9rcenYHu1",FALSE,12,NA,2017-04-09 18:28:14,FALSE,NA,"851139708625309700",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",4,FALSE,FALSE,NA,NA,"2017","Davies vs Arriet","Davies","hurts"
"298","Call helps #Cubs
Ball 1 should be strike 2
Top 7 Suter vs Almora
2% call same
5.1in from edge https://t.co/lqgpRNEiKA",FALSE,2,NA,2017-04-09 01:29:50,FALSE,NA,"850883418917408768",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",2,FALSE,FALSE,NA,NA,"2017","Suter vs Almora
","Suter","helps"
"299","Call helps #Cubs
Strike 1 should be ball 1
Bot 6 Hendricks vs Nieuwenhuis
10% call same
3.4in from edge https://t.co/7N2oRmP5k0",FALSE,2,NA,2017-04-09 01:17:33,FALSE,NA,"850880327681748994",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Hendricks vs Nie","Hendricks","helps"
"300","Call helps #Cubs
Strike 1 should be ball 1
Bot 5 Hendricks vs Villar
2% call same
4.6in from edge https://t.co/LgbC6LWSqS",FALSE,2,NA,2017-04-09 00:57:08,FALSE,NA,"850875188443009024",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Hendricks vs Vil","Hendricks","helps"
"301","Call helps #Cubs
Strike 1 should be ball 1
Bot 4 Hendricks vs Bandy
18% call same
1.6in from edge https://t.co/zoMpDGnfqg",FALSE,1,NA,2017-04-09 00:32:52,FALSE,NA,"850869085382553602",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Hendricks vs Ban","Hendricks","helps"
"302","Call hurts #Cubs
Strike 2 should be ball 2
Top 4 Milone vs Bryant
20% call same
1.9in from edge https://t.co/uOL7NqXitH",FALSE,3,NA,2017-04-09 00:22:07,FALSE,NA,"850866378236186624",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Milone vs Bryant","Milone","hurts"
"303","Call hurts #Cubs
Strike 2 should be ball 2
Top 4 Milone vs Schwarber
2% call same
4.9in from edge https://t.co/iHdbSZCJcu",FALSE,2,NA,2017-04-09 00:18:21,FALSE,NA,"850865432085106688",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",2,FALSE,FALSE,NA,NA,"2017","Milone vs Schwar","Milone","hurts"
"304","Call helps #Cubs
Strike 2 should be ball 3
Bot 7 Uehara vs Barnes
24% call same
1.4in from edge https://t.co/0h0FNgbZsr",FALSE,2,NA,2017-04-08 02:27:40,FALSE,NA,"850535585710313473",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Uehara vs Barnes","Uehara","helps"
"305","Call helps #Cubs
Strike 1 should be ball 3
Bot 6 Anderson vs Braun
2% call same
4.4in from edge https://t.co/nUCvu7URH6",FALSE,1,NA,2017-04-08 01:57:06,FALSE,NA,"850527894422081536",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Anderson vs Brau","Anderson","helps"
